EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'8015190276335,103.99,B09T6143GK,"#786.863, (Sport & Freizeit)",-94.85 ,"-9.484,57 %"
'8022530025249,24.99,B08VZ98BZV,"#413.161, (Sport & Freizeit)",-11.09 ,"-44,38 %"
'8050949514283,32.99,B09V3GSVN9,"#2.311.878, (Fashion)",-1.52 ,"-3,46 %"
'0768686469107,279.99,B09JCQPF4Y,-,-26.87 ,"-8,50 %"
'8054216457952,31.99,B091FB8TP8,"#987.959, (Fashion)",3.07 ,"5,98 %"
'6009699105250,41.99,B08MPRDDCY,"#718.810, (Auto & Motorrad)",-14.91 ,"-36,14 %"
'4036638096029,45.99,B08KQ6WTXK,"#482.569, (Sport & Freizeit)",-26.07 ,"-86,91 %"
'4052285750879,55.99,B07F23F5HK,"#2.626.926, (Fashion)",-6.84 ,"-10,22 %"
'0768686362569,104.99,B08GDXRYFR,"#239.818, (Fashion)",4.95 ,"3,45 %"
'7318573280167,54.99,B07Z4C9588,"#430.763, (Fashion)",-13.44 ,"-24,44 %"
'7318573282345,39.99,B08465X9GL,"#1.228.464, (Fashion)",2.06 ,"3,39 %"
'0768686242946,77.99,B07Y2KFQ4R,"#710.361, (Fashion)",-69.80 ,"-6.980,44 %"
'8055528219399,75.99,B07S5H6PYN,-,-18.37 ,"-25,51 %"
'4046068591308,49.99,B096G2ZW2N,"#9.118, (Fashion)",-11.35 ,"-21,41 %"
'0768686458453,87.99,B09DL9RFM4,"#332.125, (Fashion)",-13.45 ,"-13,73 %"
'8054216318970,32.99,B07T6JWQBY,-,-32.00 ,"-3.200,48 %"
'4062218359277,64.99,B094NCK5YC,"#16.385, (Fashion)",-12.55 ,"-18,07 %"
'4550170573423,65.99,B08KX5W431,"#364.491, (Fashion)",-3.58 ,"-4,11 %"
'8017732533067,118.99,B083NZQGS6,"#1.702.961, (Fashion)",-107.77 ,"-10.777,03 %"
'9010583027609,123.99,B09G1Z168W,"#1.498.994, (Fashion)",-109.66 ,"-10.965,68 %"
'4550170632601,39.99,B08L8JS86C,-,-8.56 ,"-17,79 %"
'8017732533579,139.99,B07Z54KCG8,"#986.469, (Fashion)",0.46 ,"0,26 %"
'8017732530462,181.99,B07ZTWTBDY,"#674.941, (Fashion)",-162.02 ,"-16.201,67 %"
'8017732516312,210.99,B07JH21RHB,"#5.132.574, (Fashion)",-184.94 ,"-18.493,95 %"
'0768686190223,84.99,B07GT85YFF,"#510.730, (Fashion)",5.72 ,"4,78 %"
'0191972420221,233.99,B08H4GBYFP,-,-200.88 ,"-20.087,76 %"
'4550170052997,65.99,B09BMVRLBT,"#22.292, (Fashion)",-25.81 ,"-50,61 %"
'4017912107181,100.99,B0013EWPEQ,"#29.116, (Fashion)",-89.13 ,"-8.913,47 %"
'5034948137295,43.99,B08YKC6MXV,-,-11.62 ,"-24,59 %"
'0887202336034,69.99,B08XM1N3JC,"#3.517.254, (Fashion)",-13.45 ,"-18,68 %"
'7318573829212,39.99,B0BZKPPRHL,-,-0.04 ,"-0,08 %"
'0191972762673,42.99,B0B41H2G94,"#17.041, (Sport & Freizeit)",-8.23 ,"-16,74 %"
