EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4016224102105,19.99,B09VY3L3CV,"#5.670, (Sport & Freizeit)",-20.10 ,"-2.010,06 %"
'8716683013252,9.99,B000VT2CS8,"#27.338, (Sport & Freizeit)",-7.74 ,"-110,78 %"
'4052406167883,29.99,B018V3TBWK,-,-11.53 ,"-33,93 %"
'4712805976935,29.99,B005UZQGLM,"#10.734, (Sport & Freizeit)",-6.17 ,"-20,58 %"
'4717480164912,5.99,B01LWAIN76,"#213.649, (Sport & Freizeit)",-7.38 ,"-737,97 %"
'0641300352194,28.99,B00067W7CG,-,-3.26 ,"-9,07 %"
'0641300159618,28.99,B00ZDUGHCW,"#44.802, (Sport & Freizeit)",-27.57 ,"-2.756,92 %"
'8716683094251,6.99,B01BG9GF3Y,"#861.060, (Sport & Freizeit)",-9.55 ,"-955,10 %"
'8716683041286,11.99,B0011F1UVQ,"#12.875, (Sport & Freizeit)",-5.03 ,"-41,98 %"
'7350072560869,9.99,B07RY8946L,"#3.943, (Sport & Freizeit)",2.60 ,"13,00 %"
'4055083202113,64.99,B089D7H4SV,-,-5.60 ,"-7,09 %"
'5053744703961,20.99,B094DQJ3RV,"#7.705, (Fashion)",-9.70 ,"-60,72 %"
'0196040099743,22.99,B0BRBKCHF5,"#333.478, (Fashion)",1.59 ,"4,53 %"
'8054216320843,14.99,B07Q832YDJ,"#214.271, (Fashion)",-7.11 ,"-50,79 %"
'8054216452186,15.99,B08JNYQ3MR,"#1.379.026, (Fashion)",8.02 ,"21,12 %"
'8054216305260,13.99,B07Q95565K,"#1.050.176, (Fashion)",-6.27 ,"-44,80 %"
'4066752551111,28.99,B0BQWF44HR,"#601.996, (Fashion)",-11.46 ,"-47,49 %"
'7611366168421,34.99,B0BPML4FGG,"#53.262, (Fashion)",-4.65 ,"-11,10 %"
'4550330597900,15.99,B094NBFG8J,-,0.71 ,"2,53 %"
