EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'800897836665,7.8,B00XK25ESI,"#8.112, (Kosmetik)",-4.27 ,"-54,09 %"
'800897836689,8.0,B07CG3M134,"#8.112, (Kosmetik)",-3.65 ,"-40,79 %"
'800897836696,7.8,B00XK3KRWK,"#8.112, (Kosmetik)",-3.87 ,"-43,22 %"
'800897836672,8.0,B00XK2GN6K,"#8.112, (Kosmetik)",-3.65 ,"-40,79 %"
'800897836658,7.8,B079YSGQKR,"#423.326, (Kosmetik)",-0.63 ,"-4,47 %"
'689304011235,12.95,B07PYY24FP,"#23.680, (Kosmetik)",-0.93 ,"-4,95 %"
'689304011266,18.79,B07PYY68BT,"#23.680, (Kosmetik)",-5.84 ,"-30,91 %"
'689304011259,16.69,B07PZWQYC1,"#23.680, (Kosmetik)",-4.10 ,"-21,76 %"
'4020829044210,14.59,B071CVWVJ6,"#109.509, (Kosmetik)",-5.95 ,"-43,77 %"
'4020829044203,15.5,B071CLC7YK,"#60.133, (Kosmetik)",-15.57 ,"-1.557,10 %"
'4020829075665,15.5,B08QL3N22V,"#48.586, (Kosmetik)",-5.42 ,"-34,94 %"
'4020829043589,13.5,B071L5YVRF,"#74.930, (Kosmetik)",-3.38 ,"-21,11 %"
'4020829043770,8.66,B071D5GM29,"#74.930, (Kosmetik)",-1.05 ,"-7,76 %"
'4020829043794,13.5,B06ZZ3CYXR,"#19.477, (Kosmetik)",-4.25 ,"-27,04 %"
'4052136101058,8.2,B07YZKTCG9,"#75.657, (Kosmetik)",-10.18 ,"-1.018,46 %"
'0887167189942,22.8,B015CQQXGG,"#134.166, (Kosmetik)",-4.50 ,"-17,24 %"
'0887167189973,21.7,B015COARAG,"#138.669, (Kosmetik)",-7.91 ,"-40,67 %"
'0887167189959,23.3,B015COASLO,"#134.166, (Kosmetik)",-6.20 ,"-26,00 %"
'0887167189966,21.7,B015COB0EI,"#138.669, (Kosmetik)",-4.75 ,"-19,81 %"
'800897017651,15.29,B01IW02HYG,"#1.297, (Kosmetik)",-5.04 ,"-31,47 %"
'800897017644,15.29,B01IW02HX2,"#1.297, (Kosmetik)",-6.66 ,"-46,22 %"
'800897207779,14.39,B08KTQPRBK,"#1.297, (Kosmetik)",-2.79 ,"-15,52 %"
'800897007300,16.89,B00LNS7D9Y,"#258.067, (Kosmetik)",-3.62 ,"-18,09 %"
'3373390520210,24.3,B001GKBBCY,"#187.063, (Kosmetik)",2.29 ,"6,14 %"
'800897004200,8.99,B0924YB59M,"#5.824, (Kosmetik)",-3.84 ,"-42,96 %"
'0800897004286,7.19,B0924X55LQ,-,-8.58 ,"-858,42 %"
'800897004231,8.99,B0924V9RQP,"#5.824, (Kosmetik)",-3.82 ,"-42,44 %"
'800897004217,8.99,B0924Y6ZJ6,"#5.824, (Kosmetik)",-3.84 ,"-42,94 %"
'800897004224,8.99,B0924X7P63,"#5.824, (Kosmetik)",-3.84 ,"-43,01 %"
'800897004279,8.99,B0924VXCC3,"#5.824, (Kosmetik)",-5.17 ,"-71,95 %"
'0800897024321,8.99,B0924TYFQ9,"#5.824, (Kosmetik)",-3.83 ,"-42,83 %"
'800897004255,8.99,B0924VQV68,"#5.824, (Kosmetik)",-3.84 ,"-42,96 %"
'800897004309,8.99,B0924YV7V6,"#61.958, (Kosmetik)",-3.83 ,"-42,82 %"
'602004106643,14.84,B07YLX21VK,"#255.660, (Kosmetik)",-15.01 ,"-1.501,14 %"
'4059729393739,5.99,B0BHDMHPK2,"#83.522, (Kosmetik)",-7.71 ,"-771,33 %"
'4059729393753,5.99,B0BHDKGBJT,"#83.522, (Kosmetik)",-7.57 ,"-757,27 %"
'4059729393807,5.99,B0BHDMW5BQ,"#83.522, (Kosmetik)",-7.71 ,"-771,33 %"
'4260390880293,29.45,B01N25ZJ7W,"#78.284, (Kosmetik)",-4.36 ,"-12,82 %"
'4260390880286,29.45,B01MSB38LT,"#78.284, (Kosmetik)",-4.36 ,"-12,82 %"
'4260390880279,29.45,B01NCZTDBG,"#78.284, (Kosmetik)",-4.36 ,"-12,82 %"
'4260390881306,23.8,B08ZS9LGSQ,-,0.39 ,"1,15 %"
'736150123862,20.3,B00JA7ZEFU,"#598.781, (Kosmetik)",-1.59 ,"-5,90 %"
'736150132833,23.2,B00JA7ZK36,"#625.301, (Kosmetik)",-22.04 ,"-2.204,11 %"
'194250022315,24.0,B0B223NLYP,-,1.24 ,"3,49 %"
'194250022179,30.0,B0B2237QPF,-,-7.58 ,"-25,27 %"
'194250022254,24.0,B0B2224Y88,-,-2.68 ,"-8,94 %"
'602004136299,23.2,B09SFVBK5S,"#356.132, (Kosmetik)",6.43 ,"15,30 %"
'689304250030,39.49,B07X37X4HC,"#44.470, (Kosmetik)",-12.54 ,"-34,96 %"
'689304250009,39.49,B07X94159L,"#44.470, (Kosmetik)",-12.54 ,"-34,96 %"
'3700076449808,45.95,B07WMWBMYT,"#86.331, (Kosmetik)",-20.12 ,"-62,48 %"
'3700076449853,34.68,B07WGWMLYQ,"#476.756, (Drogerie & Körperpflege)",-9.42 ,"-27,72 %"
'3700076449860,32.2,B07WDRKTDS,"#529.366, (Kosmetik)",-7.49 ,"-22,17 %"
'3700076449877,32.2,B07WGWQVNK,"#485.015, (Kosmetik)",-7.41 ,"-21,54 %"
'3700076449822,45.95,B07WFWCTLQ,"#238.215, (Drogerie & Körperpflege)",-10.59 ,"-23,02 %"
'3700076449839,45.95,B07WHZRZ9Z,"#86.618, (Kosmetik)",-19.87 ,"-61,05 %"
'3700076449846,36.8,B07WDRJFMN,"#127.437, (Kosmetik)",-2.93 ,"-6,38 %"
'800897192297,7.6,B07S9146PV,"#109.272, (Kosmetik)",2.26 ,"13,27 %"
'800897192327,7.7,B07S8YZ7H8,"#359.527, (Kosmetik)",-9.01 ,"-901,06 %"
'3616301710967,16.0,B08NX3QZZX,"#491.266, (Kosmetik)",-2.93 ,"-14,63 %"
'3616301710851,16.0,B08NX5Q38G,"#2.993, (Kosmetik)",-5.35 ,"-30,97 %"
'3616301710882,12.8,B08NX3C3Z6,"#2.993, (Kosmetik)",-2.61 ,"-15,67 %"
'3616301710943,12.8,B08NX43JXG,"#2.993, (Kosmetik)",-2.15 ,"-12,45 %"
'3616301710912,12.8,B08NX5NG4P,"#2.993, (Kosmetik)",-2.15 ,"-12,45 %"
'3616301710950,12.8,B08NX3VH2R,-,-2.15 ,"-12,44 %"
'3616301710844,16.0,B08NX28VNF,"#336.469, (Kosmetik)",-5.96 ,"-36,35 %"
'7317851229201,11.78,B005OAZU0G,"#127.673, (Kosmetik)",0.34 ,"1,75 %"
'773602641307,15.0,B0BKR5TP9K,"#57.815, (Kosmetik)",-5.34 ,"-35,57 %"
'716170158167,62.0,B01CGYQP5G,-,-54.78 ,"-5.478,18 %"
'716170158143,47.7,B01CGYQPE2,"#185.466, (Drogerie & Körperpflege)",-4.92 ,"-8,85 %"
'716170158136,57.9,B07FFRWC6J,"#315.283, (Kosmetik)",-10.46 ,"-17,44 %"
'4052136058338,8.37,B01IPGH4XG,"#23.484, (Kosmetik)",-4.12 ,"-52,28 %"
'4052136058390,13.5,B01IPGH3KU,"#23.484, (Kosmetik)",-8.42 ,"-106,73 %"
'4052136058383,13.5,B01JM3F6XQ,"#23.484, (Kosmetik)",-6.15 ,"-50,44 %"
'4052136065411,13.5,B01MFGJUTN,"#23.484, (Kosmetik)",-6.83 ,"-68,33 %"
'4052136058314,13.5,B01JM3EZX8,"#23.484, (Kosmetik)",-7.29 ,"-70,58 %"
'4052136055092,13.5,B01AUZ6SMI,"#23.484, (Kosmetik)",-5.61 ,"-43,95 %"
'4052136055047,13.5,B01AV0YHPC,"#23.484, (Kosmetik)",-6.10 ,"-50,55 %"
'4052136055061,13.5,B01AV0UJ9U,"#23.484, (Kosmetik)",-5.71 ,"-45,32 %"
'4052136055085,13.5,B01BVV4QQ0,"#23.484, (Kosmetik)",-6.25 ,"-52,80 %"
'4052136082951,13.5,B078XFX7LL,"#23.484, (Kosmetik)",-6.90 ,"-69,77 %"
'773602506699,23.25,B003CENFJE,"#430.550, (Kosmetik)",-1.66 ,"-5,21 %"
'812267010360,27.2,B0060KVCNS,"#218.290, (Kosmetik)",-26.06 ,"-2.605,51 %"
'812267010353,27.95,B004FOTG70,"#217.820, (Kosmetik)",-26.17 ,"-2.617,45 %"
'812267010346,27.95,B004M6OQCG,"#218.290, (Kosmetik)",-26.69 ,"-2.668,79 %"
'812267010339,27.95,B004M6J8RE,"#218.290, (Kosmetik)",-26.69 ,"-2.668,73 %"
'812267010322,27.95,B004M6NJD8,"#190.690, (Kosmetik)",-26.69 ,"-2.668,93 %"
'812267010315,27.95,B004M6NE3I,"#190.690, (Kosmetik)",-27.07 ,"-2.707,22 %"
'812267010308,27.95,B004M6P2FQ,"#190.690, (Kosmetik)",-26.17 ,"-2.617,44 %"
'812267010391,23.8,B0060KVFXK,"#217.820, (Kosmetik)",-23.19 ,"-2.319,46 %"
'812267010384,23.8,B0060KVEFY,"#217.820, (Kosmetik)",8.59 ,"18,64 %"
'812267010377,27.2,B0060KVDNC,"#218.290, (Kosmetik)",-26.06 ,"-2.605,51 %"
'30145054,7.99,B0092KX7IQ,"#5.987, (Computer & Zubehör)",-4.34 ,"-54,97 %"
'30147294,7.99,B0092KX7IQ,"#5.987, (Computer & Zubehör)",-4.34 ,"-54,97 %"
'30147607,7.99,B00DQITFFE,-,-4.19 ,"-43,20 %"
'30147614,6.4,B0092KX7IQ,"#5.987, (Computer & Zubehör)",-3.01 ,"-38,13 %"
'3614273040006,27.4,B08FV6894M,"#347.145, (Kosmetik)",-25.57 ,"-2.557,06 %"
'3614273040013,29.2,B08FTLN16Z,"#403.998, (Kosmetik)",-8.62 ,"-31,30 %"
'4260180219005,31.87,B08HD6SX8L,"#111.036, (Kosmetik)",-30.36 ,"-3.035,98 %"
'4019674605530,13.0,B0078MG9G2,"#18.237, (Kosmetik)",-2.26 ,"-12,59 %"
'800897005269,12.7,B08SDMH7VB,"#22.275, (Kosmetik)",-4.99 ,"-39,29 %"
'3614273660471,22.31,B0BKH8BCYK,-,0.95 ,"2,74 %"
'736150068347,24.24,B000QEC9TA,-,1.12 ,"3,14 %"
'736150068408,30.0,B001CWW422,"#547.579, (Kosmetik)",-27.75 ,"-2.775,08 %"
'736150068255,26.21,B001T3179A,"#140.677, (Kosmetik)",-0.63 ,"-1,79 %"
'736150068439,30.0,B001H6HMWK,"#503.144, (Kosmetik)",-8.30 ,"-28,64 %"
'5057566016841,4.99,B079DRX3QX,"#7.837, (Kosmetik)",-4.08 ,"-97,18 %"
'5057566039628,3.99,B07KV9FFD1,"#86.830, (Kosmetik)",-2.64 ,"-52,92 %"
'5057566113755,4.99,B07WHJ2NDP,-,-4.01 ,"-93,38 %"
'5057566016933,4.99,B079DQ64W9,"#7.837, (Kosmetik)",-4.23 ,"-105,75 %"
'5057566016964,3.99,B079DRPNXF,"#51.767, (Kosmetik)",-2.66 ,"-53,42 %"
'5057566113724,4.99,B07WFHKPH9,"#86.830, (Kosmetik)",-4.23 ,"-105,74 %"
'5057566039529,4.99,B07KVCYP6Q,"#40.620, (Kosmetik)",-3.48 ,"-69,70 %"
'5057566016872,4.99,B079DRY3WD,"#7.837, (Kosmetik)",-4.23 ,"-105,74 %"
'5057566016902,4.99,B079DQ64W7,"#84.349, (Kosmetik)",-3.50 ,"-70,62 %"
'5057566039673,3.99,B07KVB8V17,"#40.620, (Kosmetik)",-2.64 ,"-52,88 %"
'716170059594,37.7,B002NCVIRM,"#147.363, (Kosmetik)",-11.13 ,"-32,79 %"
'716170059631,37.7,B00AYGFJBK,"#265.244, (Kosmetik)",-14.40 ,"-46,44 %"
'716170059730,39.95,B002NCRBBY,"#202.967, (Kosmetik)",-10.74 ,"-28,60 %"
'716170059747,37.7,B001BKS14U,"#417.342, (Kosmetik)",7.98 ,"12,94 %"
'716170144818,37.7,B00L2NIZMO,"#649.528, (Kosmetik)",-5.70 ,"-13,53 %"
'716170061863,37.7,B00EXW6M1W,"#279.652, (Kosmetik)",-9.99 ,"-27,84 %"
'30153059,10.39,B09L1YB8TV,"#7.282, (Kosmetik)",-7.26 ,"-121,15 %"
'30147973,10.8,B0092KX7IQ,"#5.987, (Computer & Zubehör)",-6.71 ,"-84,97 %"
'30145382,10.39,B0CBLRS5KY,-,2.79 ,"12,63 %"
