SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
BC-TBBLK,Tissue Boxes,,,{},1.42,Bathroom Accessories,Ceramic Black Accessories,Ceramic,Steeltek® Ceramic Boutique Tissue Box Cover Black 12 Per Case Price Per Each,"Clean Lines and Smooth Finish
High Gloss Ceramic
Cleans Easily With A Damp Cloth And Warm Water
7.2"" L x 7.0"" W x 7.7"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bctbblk.jpg'],https://www.ahscompany.com/Steeltek®-Ceramic-Boutique-Tissue-Box-Cover-Black-12-Per-Case-Price-Per-Each_p_22527.html
BC-ATBLK,Amenity Trays,,,{},0.58,Bathroom Accessories,Ceramic Black Accessories,Ceramic,Steeltek® Ceramic Amenity Tray Black 12 Per Case Price Per Each,"Clean Lines and Smooth Finish
High Gloss Ceramic
Cleans Easily With A Damp Cloth And Warm Water
10.3"" L x 2.1"" W x 7.8"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bcatblk.jpg'],https://www.ahscompany.com/Steeltek®-Ceramic-Amenity-Tray-Black-12-Per-Case-Price-Per-Each_p_22528.html
SD-OVWHT,Soap Dishes,,,{},0.14,Bathroom Accessories,Ceramic White Accessories,Ceramic,Steeltek® Ceramic Oval Soap Dish White 36 Per Case Price Per Each,"Clean Lines And Smooth Finish
High Gloss Ceramic
Cleans Easily With A Damp Cloth And Warm Water
5.4"" L x 4.1"" W x 1.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/sdovwht.jpg'],https://www.ahscompany.com/Steeltek®-Ceramic-Oval-Soap-Dish-White-36-Per-Case-Price-Per-Each_p_22522.html
BC-SDLK,Soap Dishes,,,{},0.14,Bathroom Accessories,Ceramic Black Accessories,Ceramic,Steeltek® Ceramic Soap Dish Black 36 Per Case Price Per Each,"Clean Lines and Smooth Finish
High Gloss Ceramic
Cleans Easily With A Damp Cloth And Warm Water
5.4"" L x 4.1"" W x 1.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bcsdlk.jpg'],https://www.ahscompany.com/Steeltek®-Ceramic-Soap-Dish-Black-36-Per-Case-Price-Per-Each_p_22526.html
BS-1,Cotton Swab Containers,,,{},1.5,Basic Collection,,Stainless Steel,Steeltek® Basic Cotton Container 6 Per Case Price Per Each,"Solid Fundamental Styling
Easily Coordinates With Any Style
Polished Stainless Steel
Bright Finish
Cleans Easily With A Damp Cloth And Warm Water
3-1/2"" Dia x 3-3/4"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-1.jpg'],https://www.ahscompany.com/Steeltek®-Basic-Cotton-Container-6-Per-Case-Price-Per-Each_p_7391.html
BT-MSPAW,Trays,,,{},5.0,Basic Collection,,Melamine,Steeltek® Spa White Barware Beverage Tray 6 Per Case Price Per Each,"Durable Melamine
Contemporary Angular Styling
High Gloss Finish Provides A Polished Look
10.4"" L x 13.2"" W x 1.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/btspaw.jpg'],https://www.ahscompany.com/Steeltek®-Spa-White-Barware-Beverage-Tray-6-Per-Case-Price-Per-Each_p_27778.html
IB-MSPA2W,Ice Buckets,2 Qt,,{},9.66,Basic Collection,,Melamine,Steeltek® Spa White Barware 2 Qt. Ice Bucket 3 Per Case Price Per Each,"Durable Melamine
High Gloss Finish Provides A Polished Look
Contemporary Angular Styling
6.5"" Dia. x 7.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/ibspa2w.jpg'],https://www.ahscompany.com/Steeltek®-Spa-White-Barware-2-Qt-Ice-Bucket-3-Per-Case-Price-Per-Each_p_27777.html
BS-MSPA9W,Tissue Boxes,,,{},3.5,Spa White Collection,,Melamine,Steeltek® Spa White Boutique Tissue Box Cover 6 Per Case Price Per Each,"Contemporary, Angular Styling
Clean Lines and Smooth Finish
Durable White Melamine
Cleans Easily With A Damp Cloth And Warm Water
5.8"" L x 5.8"" W x 5.8"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-spa9w.jpg'],https://www.ahscompany.com/Steeltek®-Spa-White-Boutique-Tissue-Box-Cover-6-Per-Case-Price-Per-Each_p_7374.html
CC-MSPAW,Condiment Caddy,,,{},3.33,Basic Collection,,Melamine,Steeltek® Spa White Barware Condiment Caddy 6 Per Case Price Per Each,"Durable Melamine
Contemporary Angular Styling
High Gloss Finish Provides A  Polished Look
4.2"" L x 8.3"" W x 3.2"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/ccspaw.jpg'],https://www.ahscompany.com/Steeltek®-Spa-White-Barware-Condiment-Caddy-6-Per-Case-Price-Per-Each_p_27779.html
BS-MSPAVTW,Amenity Trays,,,{},0.58,Spa White Collection,,Melamine,Steeltek® Spa White Amenity Tray 24 Per Case Price Per Each,"Contemporary, Angular Styling
Clean Lines And Smooth Finish
Durable White Melamine
Cleans Easily With A Damp Cloth And Warm Water
6"" L x 10""W x 0.8""H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-spavtw.jpg'],https://www.ahscompany.com/Steeltek®-Spa-White-Amenity-Tray-24-Per-Case-Price-Per-Each_p_7375.html
BS-MSPA1W,Cotton Swab Containers,,,{},0.42,Spa White Collection,,Melamine,Steeltek® Spa White Cotton Container 24 Per Case Price Per Each,"Contemporary, Angular Styling
Clean Lines And Smooth Finish
Durable White
Melamine
Cleans Easily With A Damp Cloth And Warm Water
4"" L x 4"" W x 3.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-spa1w.jpg'],https://www.ahscompany.com/Steeltek®-Spa-White-Cotton-Container-24-Per-Case-Price-Per-Each_p_7368.html
BS-MSPA3W,Soap Dishes,,,{},0.29,Spa White Collection,,Melamine,Steeltek® Spa White Soap Dish 24 Per Case Price Per Each,"Contemporary, Angular Styling
Clean Lines And Smooth Finish
Durable White Melamine
Cleans Easily With A Damp Cloth And Warm Water
3.5"" L x 5.1"" W x 0.9"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-spa3w.jpg'],https://www.ahscompany.com/Steeltek®-Spa-White-Soap-Dish-24-Per-Case-Price-Per-Each_p_7369.html
