Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Saaristolaivastonkatu,6,319 500 €,,45 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/saaristolaivastonkatu-6-e724b1c7,rive
Sepänkatu,3-5,279 000 €,,33.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/sepankatu-3-5-5e0b82,rive
Sinivuorenpolku,2,249 000 €,,80.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/sinivuorenpolku-2-f4b75659,rive
Taidemaalarinkatu,16,359 500 €,,90.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/taidemaalarinkatu-16-bbc399f3,rive
Taimistontie,9,215 000 €,,56 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/taimistontie--9-710fc581,rive
Taulutie,14-16,350 000 €,,171 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/taulutie-14-16-5f8b52f1,rive
Topeliuksenkatu,9,625 000 €,,84 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/topeliuksenkatu-9-eed02de1,rive
Uussillantie,28,265 000 €,,74.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/uussillantie-28-4e2278,rive
Yllästunturintie,3,108 000 €,,41.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/yllastunturintie-3-f9996dbf,rive
Hevosmiehenkuja,1,309 000 €,,72.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/hevosmiehenkuja-1-56b89ea5,rive
Kaarikuja,5,156 000 €,,54 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/kaarikuja-5-ca211cd3,rive
