Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Marjaniemenranta,49,1 129 000 €,6,157,https://westhouse.fi/kohteet/marjaniemenranta-49-a/,westhouse
Kuninkaanniemi,4,4 890 000 €,12,459,https://westhouse.fi/kohteet/kuninkaanniemi-4/,westhouse
Lohitie,,740 000 €,6,105,https://westhouse.fi/kohteet/lohitie/,westhouse
Munkkiluodonkuja,1,562 000 €,4,97,https://westhouse.fi/kohteet/munkkiluodonkuja-1/,westhouse
Pyytie,,369 000 €,4,92,https://westhouse.fi/kohteet/pyytie/,westhouse
Poilahdentie,19,1 790 000 €,5,154,https://westhouse.fi/kohteet/poilahdentie-19/,westhouse
Haapaniemenrinne,5,448 000 €,5,138,https://westhouse.fi/kohteet/haapaniemenrinne-5/,westhouse
Haukikuja,6,397 000 €,4,83.5,https://westhouse.fi/kohteet/haukikuja-6/,westhouse
Kaitalaakso,14,635 000 €,5,158,https://westhouse.fi/kohteet/kaitalaakso-14/,westhouse
Suvannontie,2,515 000 €,3,82.5,https://westhouse.fi/kohteet/suvannontie-2/,westhouse
Taiteentekijäntie,8,359 000 €,4,88.5,https://westhouse.fi/kohteet/taiteentekijantie-8/,westhouse
Pakilantie,107,980 000 €,6,176,https://westhouse.fi/kohteet/pakilantie-107a/,westhouse
Matinniitynkuja,1,498 000 €,3,79.5,https://westhouse.fi/kohteet/matinniitynkuja-1/,westhouse
Kuhatie,10,595 000 €,5,118,https://westhouse.fi/kohteet/kuhatie-10/,westhouse
Itätuulenkuja,3,535 000 €,3,101,https://westhouse.fi/kohteet/itatuulenkuja-3/,westhouse
Temppelikatu,25,998 000 €,3,108,https://westhouse.fi/kohteet/temppelikatu-25/,westhouse
Joupinpuisto,1,148 000 €,2,50.5,https://westhouse.fi/kohteet/joupinpuisto-1/,westhouse
Marinkallio,18,754 000 €,4,101,https://westhouse.fi/kohteet/marinkallio-18-2/,westhouse
Kuhatie,12-18,239 000 €,2,54.2,https://westhouse.fi/kohteet/kuhatie-12-18/,westhouse
Harmaapaadentie,5,1 290 000 €,6,163,https://westhouse.fi/kohteet/harmaapaadentie-5-b/,westhouse
Viimeinen,,2 875 000 €,4,337,https://westhouse.fi/kohteet/viimeinen-ropo-2/,westhouse
Maapallonkuja,2,215 000 €,3,76,https://westhouse.fi/kohteet/maapallonkuja-2/,westhouse
Ilmakuja,3,249 000 €,5,100,https://westhouse.fi/kohteet/ilmakuja-3/,westhouse
Hauenkalliontie,4,299 000 €,3,65,https://westhouse.fi/kohteet/hauenkalliontie-4/,westhouse
