Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Hagelstamintie,16,435 000 €,,94 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/kartanonkoski/80309090,solidhouse
Jönsaksenpolku,1,126 000 €,,47.5 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/myyrmaki/80306024,solidhouse
Läntinen Brahenkatu,4b,509 000 €,,75 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/alppiharju_kallio/80310707,solidhouse
Sommelontie,27,229 000 €,,66 ,"https://www.solidhouse.fi/kohde/asunto/turku/turku/hirvensalo,_toijainen/80310178",solidhouse
Mäkikatu,38,159 000 €,,194 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/syvarauma/80306546,solidhouse
Antinkatu,25,74 000 €,,32 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/keskusta/80304153,solidhouse
Meteorinkatu,4,163 000 €,,46.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/olari/80306114,solidhouse
Pähkinätie,3F,95 000 €,,28 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/pahkinarinne/80309716,solidhouse
Törmäniityntie,18,244 000 €,,73.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/viherlaakso/80308008,solidhouse
Maisemamaalauksenkatu,3,229 000 €,,54.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kuninkaantammi/80309504,solidhouse
Saparokuja,8,449 000 €,,269 ,https://www.solidhouse.fi/kohde/asunto/salo/halikko_as/harkhaka/80292325,solidhouse
Hallinharjanne,11,449 000 €,,109.7 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/vuores/80309349,solidhouse
Varkkavuorenkatu,38,159 000 €,,77 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/hepokulta/80308557,solidhouse
Kortesuontie,121,435 000 €,,115 ,https://www.solidhouse.fi/kohde/asunto/pyharanta/santtio/santtio/80310488,solidhouse
Ruonanperäntie,212,105 000 €,,170 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/kalanti/ruonanpera/80307946,solidhouse
Lehmuskatu,10,132 000 €,,49.5 ,https://www.solidhouse.fi/kohde/asunto/kerava/kerava/savio/80309078,solidhouse
Runeberginkatu,21,833 000 €,,112.7 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/toolo/80307830,solidhouse
Liisankatu,11,169 000 €,,51 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/luolavuori/80309417,solidhouse
Nervanderinkatu,10,98 500 €,,58 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/uusikaupunki/keskusta/80307890,solidhouse
Kempintie,9,118 000 €,,61.5 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/lotskeri/80309662,solidhouse
Runkokatu,6,89 500 €,,60 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/haukiluoma/80306568,solidhouse
Laulurastaankuja,1,188 000 €,,58.5 ,"https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/malmi,_tapaninkyla/80308996",solidhouse
Supernovankatu,1,264 000 €,,70 ,https://www.solidhouse.fi/kohde/asunto/nokia/nokia/harjuniitty/80291731,solidhouse
Kapteeninpolku,6,157 000 €,,137 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/kalanti/kalanti_harikkala/80309256,solidhouse
Horninkatu,11,198 000 €,,77 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/keskusta/80309481,solidhouse
Lipstikkakuja,10,319 000 €,,92.5 ,"https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/asola,_rekola,_rekolanmaki/80127534",solidhouse
Männistöntie,9,485 000 €,,258.5 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/kappara/80309141,solidhouse
Hämeentie,72,310 000 €,,49 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/vallila/80308890,solidhouse
Adjutantinkatu,2,428 000 €,,85.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/makkyla/80309031,solidhouse
Murkionkatu,22,179 000 €,,60.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/koivula/80307906,solidhouse
Vironkatu,11,923 000 €,,92.8 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kruununhaka/80309943,solidhouse
Palokuja,10,147 000 €,,44 ,https://www.solidhouse.fi/kohde/asunto/kerava/kerava/jaakkola/80307162,solidhouse
Varkkavuorenkatu,40,218 000 €,,92.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/hepokulta/80306025,solidhouse
Linnankoskentie,7,65 000 €,,,https://www.solidhouse.fi/kohde/asunto/salo/salo/halikko/80308596,solidhouse
Katajatie,2,59 000 €,,57 ,https://www.solidhouse.fi/kohde/asunto/paimio/paimio/keskusta/80309001,solidhouse
Tyyrpuuri,2,16 700 €,,0 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/saunalahti/80127333,solidhouse
Yrjönkatu,11,1 745 000 €,,142 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/keskusta___punavuori/80308654,solidhouse
Kanttiinitie,1,597 000 €,,127 ,"https://www.solidhouse.fi/kohde/asunto/espoo/espoo/painiitty,_uusmaki/80297939",solidhouse
Eerikinkatu,1,698 000 €,,70 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kamppi/80309852,solidhouse
Nokkalankulma,7,798 000 €,,153 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/nuottaniemi_nokkala/80307921,solidhouse
Karosenkatu,3,103 000 €,,48.5 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/annala/80307847,solidhouse
Kummelivuorentie,10,16 900 €,,,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/saunalahti/80307873,solidhouse
Tiimalasintie,6,13 900 €,,12.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/saunalahti/80307874,solidhouse
Tuulimyllyntie,3g,276 000 €,,66.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/myllypuro/80308464,solidhouse
Kaitaistentie,6,98 000 €,,59 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/suikkila/80308348,solidhouse
Pohjoinen Rautatiekatu,31,529 000 €,,63.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/toolo/80308885,solidhouse
Tervapääskynpolku,9,255 000 €,,70 ,"https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/tapaninvainio,_tapaninkyla/80309310",solidhouse
Muurikinkatu,8,215 000 €,,79.5 ,https://www.solidhouse.fi/kohde/asunto/kaarina/littoinen/littoinen/80306076,solidhouse
Rautatienkatu,20,470 000 €,,269 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/keskusta/80305407,solidhouse
Täysikuu,10,398 000 €,,134 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/olari_kuitinmaki/80307606,solidhouse
Iso Roobertinkatu,35-37,367 000 €,,48.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80308352,solidhouse
Metsänvartijankatu,4,174 000 €,,207 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/paukkula/80307684,solidhouse
Rongankatu,2-4,349 000 €,,79.5 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/keskusta/80305953,solidhouse
Larin Parasken Polku,29,799 000 €,,181 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/hakuninmaa/80304604,solidhouse
Iso Roobertinkatu,35-37,370 000 €,,50 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80308317,solidhouse
Kauppiaankatu,1-3,1 098 000 €,,113.4 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/katajanokka/80308722,solidhouse
Metsäkedonkatu,32,119 000 €,,92.5 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/valhoja/80307852,solidhouse
Pellervonkatu,2,29 000 €,,36 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/tiilimaki/80309425,solidhouse
Suolaamontie,30,134 000 €,,22 ,https://www.solidhouse.fi/kohde/asunto/eurajoki/eurajoki/orjansaari/80304820,solidhouse
