District Name,Serial No:,BLOCK NAME,VILLAGE NAME,SHG NAME,FORMATION DATE,TOTAL COUNT MEMBER
BEGUSARAI,188,Khudaband,Mohanpur,Gayatri,19-Nov-14,11
BEGUSARAI,189,Khudaband,Daulatpur,Archana,12-Dec-14,14
BEGUSARAI,190,Khudaband,Daulatpur,Gulab,13-Sep-14,11
BEGUSARAI,191,Khudaband,Bariarpur,Mini,01-Nov-14,11
BEGUSARAI,192,Khudaband,Bariarpur,Lakshmi,03-Nov-14,13
BEGUSARAI,193,Khudaband,Bariarpur,Saheli,22-Nov-14,13
BEGUSARAI,194,Khudaband,Bariarpur,Chand,15-Nov-15,12
BEGUSARAI,195,Khudaband,Bariarpur,Sapna,05-Jun-19,12
BEGUSARAI,196,Khudaband,Bariarpur,Gulab,24-Dec-16,10
BEGUSARAI,197,Khudaband,Bariarpur,Geeta,17-Feb-14,12
BEGUSARAI,198,Khudaband,Bariarpur,Jai Mata,15-Apr-16,11
BEGUSARAI,199,Khudaband,Phaphot,Kajal,15-Nov-19,14
BEGUSARAI,200,Khudaband,Sagi,Priyanka,17-Jan-19,10
BEGUSARAI,201,Khudaband,Bariarpur,Aarti,03-Jan-15,10
BEGUSARAI,202,Khudaband,Bariarpur,Shanti,14-Mar-17,10
BEGUSARAI,203,Khudaband,Bariarpur,Akash,03-Nov-17,10
BEGUSARAI,204,Khudaband,Meghaul,Ganapati,29-Jul-15,10
BEGUSARAI,205,Khudaband,Bariarpur,Vishnu,30-Nov-15,12
BEGUSARAI,206,Khudaband,Bariarpur,Kangan,25-Dec-17,13
BEGUSARAI,207,Khudaband,Khodawand,Komal,23-Nov-19,10
BEGUSARAI,208,Khudaband,Bariarpur,Mahadev,28-Jan-15,11
BEGUSARAI,209,Khudaband,Bariarpur,Nidhi,02-Dec-14,12
BEGUSARAI,210,Khudaband,Bariarpur,Aradhana04/0,04-Jun-18,10
BEGUSARAI,211,Khudaband,Bariarpur,Hanuman,29-Nov-14,12
BEGUSARAI,212,Khudaband,Bariarpur,Keshav,24-Nov-14,11
BEGUSARAI,213,Khudaband,Bariarpur,Shankar,06-Nov-14,13
BEGUSARAI,214,Khudaband,Bariarpur,Rahmat,15-Nov-14,13
BEGUSARAI,215,Khudaband,Bariarpur,Gayatri,06-Nov-14,10
BEGUSARAI,216,Khudaband,Bariarpur,Maa,16-May-18,10
BEGUSARAI,217,Khudaband,Bariarpur,Chameli,24-Dec-16,10
BEGUSARAI,218,Khudaband,Bariarpur,Shiv,05-Nov-14,12
BEGUSARAI,219,Khudaband,Bariarpur,Nabi,21-Dec-16,12
BEGUSARAI,220,Khudaband,Daulatpur,Seeta,02-Mar-15,12
BEGUSARAI,221,Khudaband,Daulatpur,Mahadev,01-Feb-15,12
BEGUSARAI,222,Khudaband,Daulatpur,Lakshmi,01-Feb-15,12
BEGUSARAI,223,Khudaband,Daulatpur,Saraswati,01-Feb-15,12
BEGUSARAI,224,Khudaband,Daulatpur,Parvati,03-Feb-15,12
BEGUSARAI,225,Khudaband,Daulatpur,Bajrangbali,03-Feb-15,12
BEGUSARAI,226,Khudaband,Daulatpur,Chandani,03-Feb-15,12
BEGUSARAI,227,Khudaband,Daulatpur,Radha,04-Feb-15,12
BEGUSARAI,228,Khudaband,Daulatpur,Sapna,04-Feb-15,12
BEGUSARAI,229,Khudaband,Daulatpur,Bandana,04-Feb-15,12
BEGUSARAI,230,Khudaband,Phaphot,Pavan,09-Aug-14,12
BEGUSARAI,231,Khudaband,Phaphot,Seeta,25-Dec-14,10
BEGUSARAI,232,Khudaband,Phaphot,Aarti,10-Sep-14,11
BEGUSARAI,233,Khudaband,Phaphot,Radhe,17-Oct-14,10
BEGUSARAI,234,Khudaband,Phaphot,Maa,09-Aug-14,12
BEGUSARAI,235,Khudaband,Phaphot,Mata Seeta,22-Jan-17,12
BEGUSARAI,236,Khudaband,Phaphot,Janki,05-Sep-14,12
BEGUSARAI,237,Khudaband,Phaphot,Maa,09-Aug-14,12
BEGUSARAI,238,Khudaband,Khodawand,Chanda,11-Apr-14,11
BEGUSARAI,239,Khudaband,Khodawand,Mahesh,18-Oct-14,11
BEGUSARAI,240,Khudaband,Phaphot,Varsha,02-Feb-16,14
BEGUSARAI,241,Khudaband,Phaphot,Annu,21-Jan-16,10
BEGUSARAI,242,Khudaband,Phaphot,Sheetal,30-Jan-16,10
BEGUSARAI,243,Khudaband,Matihani,Ohm,02-Jan-16,10
BEGUSARAI,244,Khudaband,Matihani,Namah Shivay,02-Jan-16,10
BEGUSARAI,245,Khudaband,Matihani,Komal,07-Mar-16,10
BEGUSARAI,246,Khudaband,Malpur,Shweta,06-Apr-16,14
BEGUSARAI,247,Khudaband,Meghaul,Chandani,13-Jul-15,10
BEGUSARAI,248,Khudaband,Meghaul,Ujala23/11/20,23-Nov-15,13
BEGUSARAI,249,Khudaband,Meghaul,Kali,07-Aug-15,14
BEGUSARAI,250,Khudaband,Meghaul,Mahaveer,08-Sep-15,10
BEGUSARAI,251,Khudaband,Meghaul,Kaveri23/04/,23-Apr-18,11
BEGUSARAI,252,Khudaband,Meghaul,Shivguru,16-Aug-15,10
BEGUSARAI,253,Khudaband,Meghaul,Rohini29/09/,29-Sep-15,12
BEGUSARAI,254,Khudaband,Meghaul,Savitri11/01/,11-Jan-16,10
BEGUSARAI,255,Khudaband,Meghaul,Satyavan,06-Jan-16,14
BEGUSARAI,256,Khudaband,Meghaul,Amrit,03-Dec-15,10
BEGUSARAI,257,Khudaband,Meghaul,Vaishno,18-Nov-15,14
BEGUSARAI,258,Khudaband,Meghaul,Narayan03/12,03-Dec-15,11
BEGUSARAI,259,Khudaband,Meghaul,Parvati210820,21-Aug-15,11
BEGUSARAI,260,Khudaband,Meghaul,Vaidehi06/01/,29-Jul-16,14
BEGUSARAI,261,Khudaband,Meghaul,Prashant,02-Sep-17,11
BEGUSARAI,262,Khudaband,Meghaul,Shyam11/01/,11-Jan-16,11
BEGUSARAI,263,Khudaband,Meghaul,Mahadev,17-Jul-15,11
BEGUSARAI,264,Khudaband,Bedaulia,Krishna,25-Jul-15,10
BEGUSARAI,265,Khudaband,Bedaulia,Ganga,20-Aug-15,12
BEGUSARAI,266,Khudaband,Bedaulia,Radhika,25-Jul-15,12
BEGUSARAI,267,Khudaband,Bedaulia,Meera,18-Aug-15,13
BEGUSARAI,268,Khudaband,Bedaulia,Janki,18-Aug-15,12
BEGUSARAI,269,Khudaband,Bedaulia,Santoshi,03-Jul-15,12
BEGUSARAI,270,Khudaband,Sagi,Rekha,14-Jul-14,11
BEGUSARAI,271,Khudaband,Sagi,Maha Lakshmi,18-Apr-14,13
BEGUSARAI,272,Khudaband,Sagi,Archana,19-May-14,11
BEGUSARAI,273,Khudaband,Sagi,Mahadev,16-Feb-15,11
BEGUSARAI,274,Khudaband,Sagi,Raushan,21-Jul-15,12
BEGUSARAI,275,Khudaband,Sagi,Ganesh,10-Aug-15,13
BEGUSARAI,276,Khudaband,Sagi,Chand,01-Sep-15,11
BEGUSARAI,277,Khudaband,Sagi,Bharti,29-Dec-15,13
BEGUSARAI,278,Khudaband,Sagi,Kalpana,05-May-14,12
BEGUSARAI,279,Khudaband,Sagi,Aayush,14-Aug-15,12
BEGUSARAI,280,Khudaband,Sagi,Raja Jee,14-Aug-15,11
BEGUSARAI,281,Khudaband,Sagi,Vikas,10-Feb-14,14
BEGUSARAI,282,Khudaband,Sagi,Seeta,16-Feb-15,12
BEGUSARAI,283,Khudaband,Narayanpur,Sangam,04-Sep-15,12
BEGUSARAI,284,Khudaband,Narayanpur,Mohan,24-Jul-15,13
BEGUSARAI,285,Khudaband,Narayanpur,Devi,27-Aug-15,12
BEGUSARAI,286,Khudaband,Narayanpur,Veena,08-Nov-17,12
BEGUSARAI,287,Khudaband,Bariarpur,Kanhaiya,15-Aug-18,11
BEGUSARAI,288,Khudaband,Begampur,Krishna,06-Apr-16,12
BEGUSARAI,289,Khudaband,Daulatpur,Bhawani,07-Nov-15,13
BEGUSARAI,290,Khudaband,Daulatpur,Sahara,09-Oct-15,13
BEGUSARAI,291,Khudaband,Daulatpur,Mahadev,03-Oct-15,12
BEGUSARAI,292,Khudaband,Daulatpur,Milan,01-Oct-15,11
BEGUSARAI,293,Khudaband,Daulatpur,Asha,09-Oct-15,14
BEGUSARAI,294,Khudaband,Daulatpur,Saraswati,03-Oct-15,12
BEGUSARAI,295,Khudaband,Narullahpur,Malka,06-Sep-15,12
BEGUSARAI,296,Khudaband,Narullahpur,Saraswati,10-Sep-15,11
BEGUSARAI,297,Khudaband,Narullahpur,Altmas,07-Sep-15,12
BEGUSARAI,298,Khudaband,Narullahpur,Noor,12-Sep-15,12
BEGUSARAI,299,Khudaband,Narullahpur,Gulshan,01-Sep-15,12
BEGUSARAI,300,Khudaband,Narullahpur,Chand,29-Jan-15,10
BEGUSARAI,301,Khudaband,Narayanpur,Sharad,15-Jul-14,10
BEGUSARAI,302,Khudaband,Narullahpur,Chandani,16-Dec-15,12
BEGUSARAI,303,Khudaband,Bara,Mausam,10-Sep-15,10
BEGUSARAI,304,Khudaband,Bara,Khushi,11-Sep-15,13
BEGUSARAI,305,Khudaband,Bara,Doli,12-Sep-15,12
BEGUSARAI,306,Khudaband,Bara,Pinki,11-Sep-15,11
BEGUSARAI,307,Khudaband,Bara,Shikha,10-Sep-15,10
BEGUSARAI,308,Khudaband,Bara,Rekha,10-Sep-15,11
BEGUSARAI,309,Khudaband,Bara,Shivani,04-Jan-16,12
BEGUSARAI,310,Khudaband,Bariarpur,Kanhaiya1712,17-Dec-16,10
BEGUSARAI,311,Khudaband,Bariarpur,Shyam,28-Sep-15,11
BEGUSARAI,312,Khudaband,Bariarpur,Gautam,14-Jul-15,10
BEGUSARAI,313,Khudaband,Bariarpur,Ram,06-Jul-15,10
BEGUSARAI,314,Khudaband,Bariarpur,Ganesh,14-Jul-15,10
BEGUSARAI,315,Khudaband,Bariarpur,Khushi,06-Jul-19,16
BEGUSARAI,316,Khudaband,Bariarpur,Gayatri,09-Jan-17,10
BEGUSARAI,317,Khudaband,Bariarpur,Tara,06-Oct-15,13
BEGUSARAI,318,Khudaband,Bariarpur,Kamal,24-Sep-15,12
BEGUSARAI,319,Khudaband,Bariarpur,Arjun,01-Aug-16,11
BEGUSARAI,320,Khudaband,Bariarpur,Mahadev,01-Dec-14,11
