Searched Term,Searched Location,Name,Title,Location,Profile URL,Company Name,Company Website
creative director,New York,Paul Eustace,Creative Director,"New York, United States",https://www.adforum.com/talent/41701891-paul-eustace,Saatchi & Saatchi NY,
creative director,New York,Gib Marquart,Creative Director,"New York, United States",https://www.adforum.com/talent/41701769-gib-marquart,McCann Worldgroup,
creative director,New York,Mervyn Rey,Creative Director,"New York, United States",https://www.adforum.com/talent/41701295-mervyn-rey,Ogilvy Worldwide,http://www.ogilvy.com
creative director,New York,Andre Massis,Creative Director,"New York, United States",https://www.adforum.com/talent/41700317-andre-massis,McCann New York,
creative director,New York,Scott Ginsberg,Creative Director,"New York, United States",https://www.adforum.com/talent/41700108-scott-ginsberg,Untitled Worldwide,
creative director,New York,Sharon Rapoport,Creative Director,"New York, United States",https://www.adforum.com/talent/41699971-sharon-rapoport,,
creative director,New York,Jonny Leahan,Creative Director,"New York, United States",https://www.adforum.com/talent/41699248-jonny-leahan,J. Walter Thompson New York,http://www.jwt.com/newyork
creative director,New York,Daron Hollowell,Creative Director,"New York, United States",https://www.adforum.com/talent/41707301-daron-hollowell,McCann Worldgroup,
creative director,New York,Troy Russell,Creative Director,"New York, United States",https://www.adforum.com/talent/41706675-troy-russell,J. Walter Thompson New York,http://www.jwt.com/newyork
creative director,New York,Gro Frivoll,Creative Director,"New York, United States",https://www.adforum.com/talent/41706050-gro-frivoll,BBDO New York,
creative director,New York,Howard Coale,Creative Director,"New York, United States",https://www.adforum.com/talent/30450-howard-coale,Luminant Worldwide Corporation,
creative director,New York,January Vernon,Creative Director,"New York, United States",https://www.adforum.com/talent/41700110-january-vernon,Untitled Worldwide,
creative director,New York,Jessica Coulter,Creative Director,"New York, United States",https://www.adforum.com/talent/29814-jessica-coulter,BBDO New York,
creative director,New York,Mary O'Keefe,Creative Director,"New York, United States",https://www.adforum.com/talent/41707421-mary-okeefe,BBDO Atlanta,
creative director,New York,Kimberlee Eten,Creative Director,"New York, United States",https://www.adforum.com/talent/81921409-kimberlee-eten,,
creative director,New York,Bill Schwab,Creative Director,"New York, United States",https://www.adforum.com/talent/30265-bill-schwab,The Gate Worldwide,
creative director,New York,Pete Bregman,Creative Director,"New York, United States",https://www.adforum.com/talent/35587-pete-bregman,DDB New York,
creative director,New York,Nim Shapira,Creative Director,"New York, United States",https://www.adforum.com/talent/81818175-nim-shapira,,
creative director,New York,Ken Ferris,Creative Director,"New York, United States",https://www.adforum.com/talent/41696989-ken-ferris,Arnold Worldwide NY,http://www.arnoldworldwide.com
creative director,New York,Zoe Kessler,Creative Director,"New York, United States",https://www.adforum.com/talent/81817381-zoe-kessler,Johannes Leonardo,
creative director,New York,Amy Carvajal,Creative Director,"New York, United States",https://www.adforum.com/talent/81822690-amy-carvajal,Publicis Kaplan Thaler,
creative director,New York,Nathan Mallon,Creative Director,"New York, United States",https://www.adforum.com/talent/81828009-nathan-mallon,McCann Melbourne,
creative director,New York,Kevin Weir,Creative Director,"New York, United States",https://www.adforum.com/talent/81798668-kevin-weir,Droga5,
creative director,New York,Craig Stout,Creative Director,"New York, United States",https://www.adforum.com/talent/81818954-craig-stout,Interbrand,
creative director,New York,Jeremy Straight,Creative Director,"New York, United States",https://www.adforum.com/talent/81790734-jeremy-straight,Anomaly,
creative director,New York,Mark Aver,Creative Director,"New York, United States",https://www.adforum.com/talent/81821945-mark-aver,Mother,
creative director,New York,Javier Manzanera,Creative Director,"New York, United States",https://www.adforum.com/talent/81793567-javier-manzanera,Wunderman,
creative director,New York,Jeff Yonteff,Creative Director,"New York, United States",https://www.adforum.com/talent/52059-jeff-yonteff,Forsman & Bodenfors Göteborg,
creative director,New York,Adam Gloo,Creative Director,"New York, United States",https://www.adforum.com/talent/81800622-adam-gloo,360i,
creative director,New York,Ken Wieden,Creative Director,"New York, United States",https://www.adforum.com/talent/23563-ken-wieden,MullenLowe U.S.,http://us.mullenlowe.com/
creative director,New York,Devon Hong,Creative Director,"New York, United States",https://www.adforum.com/talent/81790828-devon-hong,Orchard Creative,http://orchardcreative.com
creative director,New York,Fred Aramis,Creative Director,"New York, United States",https://www.adforum.com/talent/82330179-fred-aramis,Wieden + Kennedy,
creative director,New York,Mike Towell,Creative Director,"New York, United States",https://www.adforum.com/talent/6698737-mike-towell,BBDO Worldwide,
creative director,New York,Charles Marrelli,Creative Director,"New York, United States",https://www.adforum.com/talent/41697301-charles-marrelli,Havas New York,http://nyc.havas.com/havas-new-york/
creative director,New York,Hank Kosinski,Creative Director,"New York, United States",https://www.adforum.com/talent/24729-hank-kosinski,MullenLowe U.S.,http://us.mullenlowe.com/
creative director,New York,Sheila McCaffery,Creative Director,"New York, United States",https://www.adforum.com/talent/41703603-sheila-mccaffery,McCaffery Gottlieb Lane LLC,
creative director,New York,Dan Brooks,Creative Director,"New York, United States",https://www.adforum.com/talent/81802370-dan-brooks,SID LEE NEW YORK,
creative director,New York,Wang Gang (Shanghai),Creative Director,"New York, United States",https://www.adforum.com/talent/41700337-wang-gang-shanghai,BBDO New York,
creative director,New York,Mark Voehringer,Creative Director,"New York, United States",https://www.adforum.com/talent/41699059-mark-voehringer,BBDO New York,
creative director,New York,Robert Shaffron,Creative Director,"New York, United States",https://www.adforum.com/talent/41702282-robert-shaffron,"UniWorld Group, Inc.",
creative director,New York,Norberto Zylberberg,Group Creative Director,"New York, United States",https://www.adforum.com/talent/81783987-norberto-zylberberg,DDB New York,
creative director,New York,Dave Rogan,Creative Director,"New York, United States",https://www.adforum.com/talent/41702150-dave-rogan,RDA International,
creative director,New York,Maite Alburquerque,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/81816480-maite-alburquerque,Ogilvy Worldwide,http://www.ogilvy.com
creative director,New York,Brook Lundy,Creative Director,"New York, United States",https://www.adforum.com/talent/41700109-brook-lundy,Tribal Worldwide,
creative director,New York,Jill Nussbaum,Creative Director,"New York, United States",https://www.adforum.com/talent/41699542-jill-nussbaum,R/GA,
creative director,New York,Carla Tesak,Creative Director,"New York, United States",https://www.adforum.com/talent/41699511-carla-tesak,BRAVO/Y&R,
creative director,New York,Damjan Pita,Creative Director,"New York, Germany",https://www.adforum.com/talent/81778396-damjan-pita,BBDO New York,
creative director,New York,Joe Cianciotto,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/81812250-joe-cianciotto,DDB New York,
creative director,New York,Chris Van Oosterhout,Group Creative Director,"New York, United States",https://www.adforum.com/talent/81813549-chris-van-oosterhout,Ogilvy Worldwide,http://www.ogilvy.com
creative director,New York,Sean Park,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/81821713-sean-park,TBWA\Media Arts Lab,
creative director,New York,Lars Mars Jorgensen,Creative Director,"New York, United States",https://www.adforum.com/talent/81772595-lars-mars-jorgensen,,
creative director,New York,Natsuko Bosaka,Creative Director,"New York, United States",https://www.adforum.com/talent/41713653-natsuko-bosaka,Grey New York,
creative director,New York,Ludovic Marrocco,Creative Director,"New York, United States",https://www.adforum.com/talent/41712061-ludovic-marrocco,Wunderman Thompson,
creative director,New York,Chris Grabenstein,Creative Director,"New York, United States",https://www.adforum.com/talent/13102-chris-grabenstein,Y&R New York,
creative director,New York,Jules Evenson,Creative Director,"New York, United States",https://www.adforum.com/talent/81773442-jules-evenson,Agency212,
creative director,New York,Ben Krantz,Creative Director,"New York, United States",https://www.adforum.com/talent/81774421-ben-krantz,Attention,
creative director,New York,Jon Robbins,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/81818498-jon-robbins,TBWA\Media Arts Lab,
creative director,New York,Matt Statman,CEO & Creative Director,"New York, United States",https://www.adforum.com/talent/81820145-matt-statman,Motive,
creative director,New York,Manny Galan,Group Creative Director,"New York, United States",https://www.adforum.com/talent/81817832-manny-galan,Grey New York,
creative director,New York,ANNE DAVIDSON,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/81817217-anne-davidson,Ogilvy Worldwide,http://www.ogilvy.com
creative director,New York,Rit Bottorf,Creative Director,"New York, United States",https://www.adforum.com/talent/6694168-rit-bottorf,Publicis New York,
creative director,New York,Laura Holmes,Creative Director,"New York, United States",https://www.adforum.com/talent/81767469-laura-holmes,Decoded Advertising,
creative director,New York,Michael Grieco,Creative Director,"New York, United States",https://www.adforum.com/talent/81768710-michael-grieco,Publicis Kaplan Thaler,
creative director,New York,Steve Bear,Creative Director,"New York, United States",https://www.adforum.com/talent/81768486-steve-bear,Publicis Kaplan Thaler,
creative director,New York,Peter Moss,Group Creative Director,"New York, United States",https://www.adforum.com/talent/48194-peter-moss,Ogilvy Worldwide,http://www.ogilvy.com
creative director,New York,Chris Lisick,Group Creative Director,"New York, United States",https://www.adforum.com/talent/47994-chris-lisick,BBH New York,
creative director,New York,Bobby Hershfield,"Partner, Chief Creative Director","New York, United States",https://www.adforum.com/talent/55106-bobby-hershfield,SS+K,
creative director,New York,Jill Danenberg,Creative Director,"New York, United States",https://www.adforum.com/talent/39392-jill-danenberg,Publicis Kaplan Thaler,
creative director,New York,Benjamin  Bailey,Creative Director,"New York, United States",https://www.adforum.com/talent/81777242-benjamin-bailey,Momentum Worldwide,
creative director,New York,Tom Amico,Creative Director,"New York, United States",https://www.adforum.com/talent/39378-tom-amico,Publicis Kaplan Thaler,
creative director,New York,Linda Thibodeau,Creative Director,"New York, United States",https://www.adforum.com/talent/29944-linda-thibodeau,McCann Worldgroup,
creative director,New York,Tommy Noonan,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/56856-tommy-noonan,DCX Growth Accelerator,
creative director,New York,Steve Giraldi,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/53319-steve-giraldi,R/GA,
creative director,New York,Chris Moreira,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/81807229-chris-moreira,Saatchi & Saatchi NY,
creative director,New York,Bob Murphy,Creative Director,"New York, United States",https://www.adforum.com/talent/30129-bob-murphy,Y&R New York,
creative director,New York,Cheryl Chapman,Creative Director,"New York, United States",https://www.adforum.com/talent/30061-cheryl-chapman,Y&R New York,
creative director,New York,Amir Zia,Creative Director,"New York, United States",https://www.adforum.com/talent/29641-amir-zia,Translation,
creative director,New York,Abe Baginsky,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/81803664-abe-baginsky,JOAN Creative,
creative director,New York,Matt Steinwald,"SVP, Executive Creative Director","New York, United States",https://www.adforum.com/talent/81802457-matt-steinwald,ENGINE,
creative director,New York,Brian Wiesenthal,Group Creative Director,"New York, United States",https://www.adforum.com/talent/81805095-brian-wiesenthal,McCann Health,
creative director,New York,Michael Robertson,Creative Director,"New York, United States",https://www.adforum.com/talent/29110-michael-robertson,"Bates North America, New York",
creative director,New York,Steve Howard,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/62283-steve-howard,Ogilvy Worldwide,http://www.ogilvy.com
