SKU,EAN,,,,,,,,,,,,,,,,,,,,,
2608685876,3165140564281,,,,,,,,,,,,,,,,,,,,,
2608685877,3165140564298,,,,,,,,,,,,,,,,,,,,,
2608833959,3165140833684,,,,,,,,,,,,,,,,,,,,,
2608833960,3165140833691,,,,,,,,,,,,,,,,,,,,,
2608586763,3165140564878,,,,,,,,,,,,,,,,,,,,,
2608586764,3165140565486,,,,,,,,,,,,,,,,,,,,,
2608900245,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586797,3165140565806,,,,,,,,,,,,,,,,,,,,,
2608900059,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900060,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900065,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900066,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900071,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900072,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900073,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900074,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900075,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900078,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900079,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900080,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900081,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900082,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900083,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900084,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900087,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900088,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900089,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900090,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900091,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900093,4.06E+17,,,,,,,,,,,,,,,,,,,,,
