sku,Vin_number,make,model,year,color,condition,description,location,mileage,price,image,url
2002400573,1G1YW2DWXA5108666,Chevrolet,Corvette,2010,Red,Used,"Used 2010 Chevrolet Corvette Grand Sport with 14233 miles - $43,990","Brooklyn, NY",14233,43990,https://cdnblob.fastly.carvana.io/2002400573/post-large/normalized/zoomcrop/2002400573-edc-02.jpg,https://www.carvana.com/vehicle/2751753
2002329592,1G4HA5EM2BU141734,Buick,Lucerne,2011,Silver,Used,"Used 2011 Buick Lucerne CX with 16028 miles - $16,590","Brooklyn, NY",16028,16590,https://cdnblob.fastly.carvana.io/2002329592/post-large/normalized/zoomcrop/2002329592-edc-02.jpg,https://www.carvana.com/vehicle/2713155
2002322503,JHMZC5F16LC000680,Honda,Clarity Plug-in Hybrid,2020,Silver,Used,"Used 2020 Honda Clarity Plug-in Hybrid base with 16666 miles - $28,590","Brooklyn, NY",16666,28590,https://cdnblob.fastly.carvana.io/2002322503/post-large/normalized/zoomcrop/2002322503-edc-02.jpg,https://www.carvana.com/vehicle/2709293
2002301642,SALGV3TFXEA184911,Land Rover,Range Rover,2014,White,Used,"Used 2014 Land Rover Range Rover Autobiography LWB with 60043 miles - $44,990","Baltimore, MD",60043,44990,https://cdnblob.fastly.carvana.io/2002301642/post-large/normalized/zoomcrop/2002301642-edc-02.jpg,https://www.carvana.com/vehicle/2691512
2002374006,1C6HJTAG3ML586766,Jeep,Gladiator,2021,Gray,Used,"Used 2021 Jeep Gladiator Sport S 5 ft with 34337 miles - $40,590","Brooklyn, NY",34337,40590,https://cdnblob.fastly.carvana.io/2002374006/post-large/normalized/zoomcrop/2002374006-edc-02.jpg,https://www.carvana.com/vehicle/2734829
2002289861,1GYKNFRS7HZ141005,Cadillac,XT5,2017,Red,Used,"Used 2017 Cadillac XT5 Platinum with 63156 miles - $27,990","Brooklyn, NY",63156,27990,https://cdnblob.fastly.carvana.io/2002289861/post-large/normalized/zoomcrop/2002289861-edc-02.jpg,https://www.carvana.com/vehicle/2692763
2002366489,WDCGG8HB5CF889999,Mercedes-Benz,GLK-Class,2012,Black,Used,"Used 2012 Mercedes-Benz GLK-Class GLK 350 4MATIC with 67596 miles - $19,990","Baltimore, MD",67596,19990,https://cdnblob.fastly.carvana.io/2002366489/post-large/normalized/zoomcrop/2002366489-edc-02.jpg,https://www.carvana.com/vehicle/2731468
2002383604,1C6HJTFG3ML579258,Jeep,Gladiator,2021,Other,Used,"Used 2021 Jeep Gladiator Overland 5 ft with 6283 miles - $46,990","Brooklyn, NY",6283,46990,https://cdnblob.fastly.carvana.io/2002383604/post-large/normalized/zoomcrop/2002383604-edc-02.jpg,https://www.carvana.com/vehicle/2747736
2002285843,4JGDF7DE6HA941694,Mercedes-Benz,GLS,2017,Silver,Used,"Used 2017 Mercedes-Benz GLS GLS 550 with 46851 miles - $44,990","Brooklyn, NY",46851,44990,https://cdnblob.fastly.carvana.io/2002285843/post-large/normalized/zoomcrop/2002285843-edc-02.jpg,https://www.carvana.com/vehicle/2681994
2002312952,1G6DH5E52C0157595,Cadillac,CTS,2012,Other,Used,"Used 2012 Cadillac CTS base with 68762 miles - $17,590","Brooklyn, NY",68762,17590,https://cdnblob.fastly.carvana.io/2002312952/post-large/normalized/zoomcrop/2002312952-edc-02.jpg,https://www.carvana.com/vehicle/2702499
2002354409,JM3KFBCM3M0342606,MAZDA,CX-5,2021,Gray,Used,"Used 2021 MAZDA CX-5 Carbon Edition with 22268 miles - $30,990","Brooklyn, NY",22268,30990,https://cdnblob.fastly.carvana.io/2002354409/post-large/normalized/zoomcrop/2002354409-edc-02.jpg,https://www.carvana.com/vehicle/2720394
2002325787,WMZYS7C35H3E07062,MINI,Countryman,2017,Green,Used,"Used 2017 MINI Countryman Cooper with 43710 miles - $21,590","Brooklyn, NY",43710,21590,https://cdnblob.fastly.carvana.io/2002325787/post-large/normalized/zoomcrop/2002325787-edc-02.jpg,https://www.carvana.com/vehicle/2711706
2002223903,1G1YT3DW8B5109573,Chevrolet,Corvette,2011,Other,Used,"Used 2011 Chevrolet Corvette Grand Sport with 12883 miles - $40,990","Brooklyn, NY",12883,40990,https://cdnblob.fastly.carvana.io/2002223903/post-large/normalized/zoomcrop/2002223903-edc-02.jpg,https://www.carvana.com/vehicle/2648883
2002339181,SALGV2RE8KA562017,Land Rover,Range Rover,2019,White,Used,"Used 2019 Land Rover Range Rover Autobiography with 41071 miles - $79,590","Brooklyn, NY",41071,79590,https://cdnblob.fastly.carvana.io/2002339181/post-large/normalized/zoomcrop/2002339181-edc-02.jpg,https://www.carvana.com/vehicle/2720404
2002339181,SALGV2RE8KA562017,Land Rover,Range Rover,2019,White,Used,"Used 2019 Land Rover Range Rover Autobiography with 41071 miles - $79,590","Baltimore, MD",41071,79590,https://cdnblob.fastly.carvana.io/2002339181/post-large/normalized/zoomcrop/2002339181-edc-02.jpg,https://www.carvana.com/vehicle/2720404
2002310745,5N1AA0NC3EN603387,Nissan,Armada,2014,Black,Used,"Used 2014 Nissan Armada Platinum with 52095 miles - $27,590","Brooklyn, NY",52095,27590,https://cdnblob.fastly.carvana.io/2002310745/post-large/normalized/zoomcrop/2002310745-edc-02.jpg,https://www.carvana.com/vehicle/2699291
