EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4062695000723,149.99,B08JQ8WYQD,"#101.890, (Sport & Freizeit)",-28.40 ,"-18,81 %"
',19.99,B0BVGQV874,"#26.071, (Fashion)",-9.53 ,"-59,61 %"
',28.99,B0BVGQV874,"#26.071, (Fashion)",-17.09 ,"-106,89 %"
'4550170451950,31.99,B07WDC5MHW,"#27.503, (Sport & Freizeit)",-15.48 ,"-70,40 %"
'4550170451967,29.99,B0863FCGZV,"#23.054, (Sport & Freizeit)",-7.90 ,"-25,88 %"
'4550170514648,25.99,B07Z4FLYXG,"#43.020, (Sport & Freizeit)",-11.14 ,"-53,17 %"
'831273005009,110.99,B0025TTF0K,"#189.098, (Sport & Freizeit)",-98.75 ,"-9.875,12 %"
'831273005931,110.99,B001CN6OUO,"#57.155, (Sport & Freizeit)",-24.62 ,"-22,77 %"
'831273005085,100.99,B0025TWUIO,"#62.955, (Sport & Freizeit)",-21.86 ,"-21,87 %"
',26.99,B0BVGQV874,"#26.071, (Fashion)",-15.41 ,"-96,38 %"
',44.99,B0BVGQV874,"#26.071, (Fashion)",-30.54 ,"-191,00 %"
'710845872587,79.99,B07HBBC9FM,"#549.973, (Sport & Freizeit)",-70.85 ,"-7.084,61 %"
'641300166364,114.99,B08NX5WJDR,"#491.292, (Sport & Freizeit)",-6.01 ,"-4,35 %"
'4003318314940,39.99,B000P1TMZ8,"#27.480, (Sport & Freizeit)",-3.55 ,"-7,59 %"
'8713249306735,51.99,B09HRHQMVS,"#69.170, (Sport & Freizeit)",-17.40 ,"-39,62 %"
'4055149418687,29.99,B09NRYWPTH,"#310.959, (Sport & Freizeit)",-7.22 ,"-24,08 %"
'4003318955495,89.99,B0BF5D1K7X,"#44.519, (Sport & Freizeit)",-9.67 ,"-10,07 %"
'4003318954795,49.99,B0BF5FNMS2,"#47.857, (Sport & Freizeit)",-13.65 ,"-30,36 %"
',59.99,B0BVGQV874,"#26.071, (Fashion)",-43.14 ,"-269,80 %"
'4250450726593,89.99,B095KC6Y7K,"#70.255, (Sport & Freizeit)",-18.57 ,"-21,86 %"
'4052285314385,56.99,B018Y0R4A6,"#20.191, (Sport & Freizeit)",-11.44 ,"-19,74 %"
'4714247516236,21.99,B010FM38X8,-,-4.56 ,"-16,96 %"
'886798034898,90.99,B09KT3BDSZ,"#416.093, (Sport & Freizeit)",-15.85 ,"-17,62 %"
'886798035048,81.99,B09KTFN19H,"#399.730, (Sport & Freizeit)",-3.87 ,"-4,04 %"
'4046051133874,83.99,B097PZYD42,"#27.712, (Sport & Freizeit)",-20.50 ,"-26,96 %"
'4710069705193,43.99,B09NC3HDH2,"#229.584, (Elektronik & Foto)",-26.94 ,"-134,75 %"
