EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'0887202290114,17.99,B084CT5719,"#713.643, (Auto & Motorrad)",16.82 ,"32,66 %"
'5055939916330,38.99,B01N1ZEVY2,"#495.695, (Fashion)",19.65 ,"24,74 %"
'5055939953342,44.99,B07PQSX9R7,"#593.886, (Sport & Freizeit)",15.42 ,"19,77 %"
'5055939986791,45.99,B08HJPTB3K,-,23.67 ,"23,72 %"
'5055939994178,77.99,B08YKGT2FF,-,36.06 ,"24,88 %"
'9008415967421,81.99,B08G8J487G,"#908.514, (Fashion)",32.33 ,"20,91 %"
'8030819234398,100.99,B09D7PVDZ4,-,16.23 ,"10,47 %"
'5056286910828,67.99,B09G4MQSV3,"#4.408.435, (Fashion)",33.80 ,"25,78 %"
'8030819181104,61.99,B08ML6HZP3,"#1.097.383, (Fashion)",11.39 ,"11,34 %"
'8017732546326,281.99,B08RJQGCKR,-,21.14 ,"5,48 %"
'5055939983707,160.99,B08FPHLDBD,-,29.65 ,"13,09 %"
'0191234552219,39.99,B083Z6P7LB,"#844.085, (Fashion)",36.29 ,"35,72 %"
'6009699111701,54.99,B09R9XSVTN,"#658.463, (Fashion)",12.71 ,"13,53 %"
'4064044422194,127.99,B08WRVZ68W,-,36.97 ,"18,49 %"
'4050772305366,76.99,B0B99STZVH,-,14.37 ,"12,66 %"
'8017732545350,251.99,B08FXRJK9Y,"#854.299, (Auto & Motorrad)",52.75 ,"13,35 %"
'0641300300027,118.99,B08R87TF44,"#1.262.554, (Fashion)",26.73 ,"13,71 %"
'8017732545947,127.99,B08NFKWP29,"#1.147.368, (Fashion)",18.98 ,"9,72 %"
'0641300300867,84.99,B08T4295KZ,"#2.635.281, (Fashion)",22.23 ,"15,33 %"
'5056286919500,172.99,B09RYP7C4R,"#145.653, (Fashion)",54.86 ,"20,40 %"
'0887202330551,320.99,B08XKFDTWV,"#745.220, (Sport & Freizeit)",75.42 ,"14,67 %"
'8804269651278,94.99,B07RFTVYF4,-,11.77 ,"8,46 %"
'9008169761610,43.99,B0C3PM5MQH,"#2.022.002, (Fashion)",30.49 ,"30,82 %"
'5056286946957,38.99,B0BZ56LD4Q,-,19.07 ,"24,67 %"
'8717009446792,168.99,B0B34M175S,-,22.46 ,"9,94 %"
'8030819314540,58.99,B0BRR7NNB3,-,12.02 ,"12,52 %"
'9010583099095,55.99,B0BNK96G7D,-,10.87 ,"12,08 %"
'0810014041414,98.99,B07ZG9X1R1,"#501.188, (Sport & Freizeit)",18.79 ,"11,86 %"
'4251702332173,69.99,B0C8Y58KWD,-,11.88 ,"10,81 %"
'8055528356032,92.99,B09P88KY27,-,12.08 ,"9,58 %"
'4050772337022,77.99,B0C7LXXHLM,"#372.274, (Fashion)",18.09 ,"14,96 %"
'5056286920391,38.99,B09RVB5PS9,"#5.017.586, (Fashion)",18.30 ,"23,98 %"
'0193128984007,53.99,B0C6B2ZDH5,-,20.17 ,"19,67 %"
'0191361286544,59.99,B09B1BB9L4,-,35.05 ,"28,26 %"
'0887202369315,126.99,B09RN5TDKG,-,22.83 ,"11,41 %"
'0655586393512,51.99,B08YXJD6ZV,"#936.262, (Sport & Freizeit)",12.99 ,"14,30 %"
'5056286950145,61.99,B0BZWYFB5B,"#710.843, (Fashion)",33.87 ,"27,54 %"
'9010583094908,72.99,B0BNK8NTBS,"#4.335.928, (Fashion)",15.96 ,"13,30 %"
'9010583110943,53.99,B0BNK9KK6V,-,13.86 ,"15,40 %"
'9010583096056,84.99,B0BJ79YBZJ,-,15.33 ,"11,23 %"
'5056286945691,71.99,B0BZWM57X7,"#500.567, (Fashion)",15.84 ,"14,33 %"
'8033577559628,36.99,B0924WW5N5,-,12.72 ,"18,66 %"
'0841269188456,73.99,B09QXPHZM1,-,25.55 ,"19,16 %"
'5056286947121,40.99,B0BZ574W3B,-,16.82 ,"21,96 %"
'7630276858468,59.99,B094NF52KM,-,18.17 ,"18,34 %"
'0887202341113,81.99,B093KFXMTD,"#890.921, (Sport & Freizeit)",10.89 ,"8,89 %"
'0810014048246,65.99,B08TMV498M,"#778.458, (Sport & Freizeit)",12.41 ,"11,39 %"
'0191972626890,60.99,B09895VTZK,"#835.564, (Fashion)",41.66 ,"31,32 %"
