Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Madonnankatu,6,"348,000 €",,,148 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/yli-maaria/80309116,solidhouse
Säästäjäntie,1,"69,000 €",,,53 ,https://www.solidhouse.fi/kohde/asunto/aura/aura/saastokallio/80294709,solidhouse
Ulvilantie,11,"539,000 €",,,99 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/munkkivuori/80307707,solidhouse
Korkeavuorenkatu,3,"629,000 €",,,66.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/ullanlinna/80308542,solidhouse
Sarvastonkaari,3,"315,000 €",,,78 ,"https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/laajasalo,_jollas/80308507",solidhouse
Betaniankatu,25,"137,000 €",,,56 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/mantymaki/80307231,solidhouse
Pakkarinkatu,5,"178,000 €",,,94 ,"https://www.solidhouse.fi/kohde/asunto/turku/turku/keskusta,_kakola/80289635",solidhouse
Untamontie,3,"199,000 €",,,33.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kapyla___olympiakyla/80307393,solidhouse
Pampinkuja,2,"333,000 €",,,110 ,"https://www.solidhouse.fi/kohde/asunto/turku/turku/hirvensalo,_moikoinen/80303885",solidhouse
Kukolantie,24,"240,000 €",,,80 ,"https://www.solidhouse.fi/kohde/asunto/turku/turku/hirvensalo,_kukola/80295459",solidhouse
Ilkanrinne,2,"224,000 €",,,52.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/martti/80294998,solidhouse
Hämeentie,68,"599,000 €",,,97.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/vallila/80306995,solidhouse
VähäPuotilantie,6,"299,000 €",,,141 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/halikon_asema/80308864,solidhouse
Mäkitie,4,"348,000 €",,,320 ,https://www.solidhouse.fi/kohde/asunto/paimio/paimio/oinila/80306474,solidhouse
Valkontie,58,"129,000 €",,,329 ,https://www.solidhouse.fi/kohde/asunto/laitila/laitila/valko/80307740,solidhouse
