Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Taulutie,14-16,"350,000 €",,,171 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/taulutie-14-16-5f8b52f1,rive
Tehtaankatu,34,"995,000 €",,,87.2 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/tehtaankatu-34-a3223645,rive
Tilkankatu,20,"639,000 €",,,98 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/tilkankatu-20-0def9e36,rive
Topeliuksenkatu,9,"625,000 €",,,84 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/topeliuksenkatu-9-eed02de1,rive
Uussillantie,28,"265,000 €",,,74.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/uussillantie-28-4e2278,rive
Vanha viertotie,4,"319,000 €",,,57 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/vanha-viertotie-4-1478c22c,rive
Vanhaväylä,,"698,000 €",,,114 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/vanhavayla-0365d783,rive
Varustuksentie,11,"309,000 €",,,95 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/varustuksentie-11-336b12ea,rive
Vaskihuhdantie,4,"179,000 €",,,65 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/vaskihuhdantie-4-31a248a6,rive
Vihervarpusentie,12,"620,000 €",,,125.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/vihervarpusentie-12-295adbb7,rive
Yläkiventie,10,"185,000 €",,,73 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/ylakiventie-10-59c7ca97,rive
Yläkiventie,3,"242,500 €",,,72 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/ylakiventie-3-cd103a,rive
Yllästunturintie,3,"108,000 €",,,41.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/yllastunturintie-3-f9996dbf,rive
Miina Sillanpään katu,7,"324,000 €",,,51 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/miina-sillanpaan-katu-7-9358b6f3,rive
Santavuorentie,6,"265,000 €",,,44 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/santavuorentie-6-d7072a,rive
Gyldénintie,8,"363,000 €",,,56 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/gyldénintie-8-0a4eb5d1,rive
